company_id,company_name,linkedin_url,website,company_type,country,hq_city,hq_region,headcount_bucket,headcount_min,headcount_max,founded_year,revenue_bucket,last_funding_type,last_funding_amount,founders,industries_or_category,domain,source,source_url,hq_regions,hq_full_address,revenue_min,revenue_max,primary_industry,description,facebook_url,twitter_url,instagram_url,last_funding_date,num_founders,cb_rank,growth_score_tier,operating_status,min_project_size,hourly_rate,rating,review_count,priority_score,notes
c0001,Blacksmith,https://www.linkedin.com/company/blacksmithrun,https://blacksmith.sh,B2B SaaS,US,San Francisco,California,11-50,11,50,2024.0,,Series B,"$45,000,000","Aayush Shah , Aditya Jayaprakash , Aditya Maru","Cloud Computing , Developer Tools , DevOps , SaaS , Software",blacksmith.sh,crunchbase,https://www.crunchbase.com/organization/blacksmith-fde4,"San Francisco Bay Area , West Coast , Western US",,,,,"Blacksmith provides a cloud platform for continuous integration (CI) workloads. Its platform runs GitHub Actions on purpose-built infrastructure and provides compute, caching, observability, and security features for software build, test, and deployment workflows.",,,,"Aug 12, 2026",3.0,242,Medium,Active,,,,,3,
c0002,Digs,https://www.linkedin.com/company/digshq,https://digs.com,B2B SaaS,US,Vancouver,Washington,51-100,51,100,2022.0,,Series A,"$25,300,000","Ryan Fink , Ty Frackiewicz","Artificial Intelligence (AI) , Construction , Enterprise Software , SaaS",digs.com,crunchbase,https://www.crunchbase.com/organization/digs-8801,"West Coast , Western US",,,,,"Digs is a SaaS platform that serves builders and contractors by providing tools to streamline preconstruction planning, document collaboration, and homeowner handover. The service offers modules like file management (“DigsCloud”) that centralize project files and enable AI-powered search, collaboration boards (“DigsCanvas”) that generate 2D/3D digital twins of homes from standard blueprints, and handoff/warranty tools (“DigsCare”) that deliver digital home portfolios and postbuild support. The product is designed to bring all stakeholders, including builders, subcontractors, suppliers, and homeowners, into a unified workspace, tracking selections, approvals, changes, and warranties in one place. By converting traditional paper-based processes into a structured digital workflow, Digs aims to reduce information silos and improve communication across the build lifecycle.",,,,"Aug 25, 2026",2.0,286,Low,Active,,,,,3,
c0003,Twelve Labs,https://www.linkedin.com/company/twelvelabs,http://twelvelabs.io,B2B SaaS,US,San Francisco,California,11-50,11,50,2021.0,,Series B,"$100,000,000","Aiden Lee , Dave Chung , Jae Lee , SJ Kim , Soyoung Lee","Generative AI , Information Technology , Software , Visual Search",twelvelabs.io,crunchbase,https://www.crunchbase.com/organization/twelve-labs-62b5,"San Francisco Bay Area , West Coast , Western US",,,,,"TwelveLabs develops artificial intelligence models and infrastructure for understanding, searching, and analyzing video content. Its platform enables applications to interpret visual, audio, and spoken information within videos, allowing users to perform semantic search, generate summaries, identify events and objects, and extract insights from video data. The company provides APIs and multimodal AI models that support use cases across media, entertainment, security, enterprise knowledge management, and other video-intensive applications. It also conducts research in video understanding and machine learning to improve how AI processes and reasons over video content.",https://www.facebook.com/p/TwelveLabs-61575755852747,,,"Jul 1, 2026",5.0,357,High,Active,,,,,3,
c0004,Augustus,https://www.linkedin.com/company/augustusbank,https://www.augustus.com,B2B SaaS,US,San Francisco,California,11-50,11,50,2021.0,,Series B,"$180,000,000","Ferdinand Dabitz , Joshua Becker , Peter Mosebjane Lieck , Simon Wimmer","Artificial Intelligence (AI) , Banking , Blockchain , Cloud Computing , Cryptocurrency , Financial Services , FinTech , Payments , Software",augustus.com,crunchbase,https://www.crunchbase.com/organization/augustus-86bf,"San Francisco Bay Area , West Coast , Western US",,,,,"Augustus builds an AI-native, stablecoin-based clearing and banking platform for financial institutions. The company focuses on enabling digital asset and stablecoin-based clearing to support payments and banking workflows. Its platform is designed for banks, fintechs, and other regulated financial institutions that require infrastructure for digital asset transactions. Augustus integrates artificial intelligence into its systems to support automated processes and decisioning around payments and clearing. The company positions its offerings as core banking and payments infrastructure centered on digital assets rather than traditional legacy systems.",,,,"Jul 21, 2026",4.0,362,High,Active,,,,,3,
c0005,ProphetX,https://www.linkedin.com/company/12579305,https://www.prophetx.co/,B2B SaaS,US,Hoboken,New Jersey,11-50,11,50,2018.0,,Venture - Series Unknown,"$35,000,000","Dean Sisun , Jake Benzaquen","Finance , Gaming , Information Technology , Prediction Markets , Software , Sports",prophetx.co,crunchbase,https://www.crunchbase.com/organization/prophet-3f7d,"Greater New York Area , East Coast , Northeastern US",,,,,"Prophet solves the price and liquidity issues riddled with the sportsbook model today. Users can set prices for others to take, or take positions on the prices already available. This gives users the best odds and separates ProphetX from traditional sportsbooks.",,,,"Jul 28, 2026",2.0,462,High,Active,,,,,3,
c0006,Unframe,https://www.linkedin.com/company/unframe-ai,https://www.unframe.ai,B2B SaaS,US,Cupertino,California,51-100,51,100,2024.0,,Series B,"$50,000,000","Adi Azarya , Larissa Schneider , Shay Levi","Artificial Intelligence (AI) , Enterprise Software , Information Technology , SaaS , Software",unframe.ai,crunchbase,https://www.crunchbase.com/organization/unframe-ai,"San Francisco Bay Area , Silicon Valley , West Coast",,,,SaaS,"Unframe is the Managed AI Transformation Platform that turns enterprise needs and use cases into fully tailored, production-ready AI solutions in days. Powered by Unframe's deep technical building blocks and its open platform, every solution integrates seamlessly with each customer's existing AI program and core systems — scoping, designing, and delivering against the company's data, workflows, and governance frameworks. Solutions run in the customer's cloud, on-premises, or as fully managed SaaS, with no dependency on a specific LLM. Unframe helps enterprises eliminate operational bottlenecks and capture the business value of AI, from targeted use cases to complete AI transformation. Co-founded in 2024 by Shay Levi, Larissa Schneider, and Adi Azarya, Unframe is headquartered in Cupertino, California, with offices in Tel Aviv and Berlin. Visit unframe.ai.",,,,"May 19, 2026",3.0,476,High,Active,,,,,3,
c0007,Hike Medical,https://www.linkedin.com/company/hike-medical,https://www.hikemedical.com,B2B SaaS,US,San Francisco,California,11-50,11,50,2022.0,,Series A,"$22,500,000","Aadi Bhanti , Amit Bhanti , Steven Chacko","Health Care , Machine Learning , Medical Device , Software , Supply Chain Management",hikemedical.com,crunchbase,https://www.crunchbase.com/organization/hike-medical,"San Francisco Bay Area , West Coast , Western US",,,,,"Hike Medical develops a healthcare technology platform that supports the workflow for durable medical equipment, prosthetics and orthotics, and podiatry providers. Its platform combines Hike Clinical for patient evaluations, documentation, 3D scanning, and device ordering with Hike Intelligence for referral processing, eligibility checks, documentation management, and payer-related workflows. The company also operates an in-house laboratory that uses 3D printing to produce custom orthotics and other devices, including diabetic shoes and inserts. Its system connects clinical, administrative, ordering, and fabrication processes within a single workflow, helping providers manage patient referrals through device fulfillment.",https://www.facebook.com/hikemed,,,"Aug 25, 2026",3.0,499,High,Active,,,,,3,
c0008,ZenaTech,https://www.linkedin.com/company/zenapay,http://www.zenatech.com,B2B SaaS,US,Chicago,Illinois,11-50,11,50,2010.0,,Post-IPO Equity,"$25,000,000",,"Drones , Information Technology , Software",zenatech.com,crunchbase,https://www.crunchbase.com/organization/zenatech,"Greater Chicago Area , Great Lakes , Midwestern US",,,,,"ZenaTech provides drone technology solutions such as drone development, payment solutions, management software and auditing software.",https://www.facebook.com/zenatech.inc,,,"May 15, 2026",,534,High,Active,,,,,3,
c0009,Trunk Tools,https://www.linkedin.com/company/trunktools,https://trunk.tools,B2B SaaS,US,New York,New York,51-100,51,100,2021.0,,Series B,"$40,000,000",Sarah Buchner,"Artificial Intelligence (AI) , Construction , Productivity Tools , Project Management , Software",trunk.tools,crunchbase,https://www.crunchbase.com/organization/trunk-tools,"Greater New York Area , East Coast , Northeastern US",,,,Artificial Intelligence (AI),"Trunk Tools offers an AI-driven platform designed to automate construction-specific workflows. The company focuses on enhancing team efficiency in the construction industry through tailored solutions. It supports a wide range of users, including superintendents and project managers, to streamline operations on job sites. In contrast to conventional tools that act merely as static digital storage, Trunk Tools operates as a clever partner, organizing chaotic documentation, alerting users to potential risks, and providing insights instantly.",https://www.facebook.com/profile.php,,,"Jul 24, 2025",1.0,627,Low,Active,,,,,3,
c0010,BQP,https://www.linkedin.com/company/bosonq-psi,https://www.bqpsim.com/,B2B SaaS,US,Syracuse,New York,51-100,51,100,2020.0,,Venture - Series Unknown,,"Abhishek Chopra , Jash Minocha , Rut Lineswala","Aerospace , Artificial Intelligence (AI) , Automotive , Energy , Life Science , Machine Learning , Semiconductor , Simulation , Software , Space Travel",bqpsim.com,crunchbase,https://www.crunchbase.com/organization/bosonq-psi,"Great Lakes , East Coast , Northeastern US",,,,,"At BQP, we’re developing a quantum-accelerated digital twin platform for mission-critical applications. The platform, BQPhy, is a back-end engine that integrates seamlessly into existing engineering workflows and operates on today’s infrastructure without requiring quantum hardware. BQPhy helps teams solve large-scale, complex challenges in engineering optimization, data-driven modeling (ML), and physics-based (CFD) simulations. We are bridging the gap between current high-performance computers and future quantum systems with probabilistic algorithms from quantum information science, unlocking simulation capabilities that were previously impractical or impossible. BQPhy reduces time, accuracy, and throughput inefficiencies, thereby accelerating development cycles, unlocking previously unexplored design spaces, lowering costs, and enhancing product outcomes.",,,,"Sep 2, 2026",3.0,659,Medium,Active,,,,,3,
