source,company_name,clutch_url,website,category,hq_city,hq_region,hq_country,team_size,min_project_size,hourly_rate,rating,review_count,tagline,scraped_at,linkedin_url,facebook_url,twitter_url,instagram_url,founded_year,hq_full_address
clutch,M3.agency,https://clutch.co/profile/m3agency-0,https://m3.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=uk-agencies-digital-marketing,digital-marketing,Birmingham,England,UK,50 - 249,"$1,000+",$100 - $149 / hr,5.0,11.0,"M3.agency is a comprehensive digital marketing agency specializing in SEO, PPC, social media marketing, and website development. The company receives overwhelmingly positive feedback, with around 95% of reviewers praising their responsiveness, professionalism, and ability to deliver projects on time",2026-09-10T03:53:28,https://www.linkedin.com/company/m3agencyuk/,https://www.facebook.com/m3agencyuk/,https://twitter.com/m3agencyuk,https://www.instagram.com/m3agencyuk/,1999.0,"2 Chamberlain Square Birmingham , England B3 3AX"
clutch,CEEK,https://clutch.co/profile/ceek,https://www.ceek.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=uk-agencies-digital-marketing,digital-marketing,Victoria,London,UK,10 - 49,"$5,000+",$150 - $199 / hr,5.0,7.0,"CEEK is a comprehensive digital marketing agency specializing in SEO, social media management, and strategic online advertising. Across their reviews, CEEK has been praised for their professionalism, innovative ideas, and strong project management skills. Approximately 100% of reviewers highlighted ",2026-09-10T03:53:28,https://www.linkedin.com/company/25072738,https://www.facebook.com/CEEKMarketing/,https://twitter.com/ceekmarketing,https://www.instagram.com/ceekmarketing/,2016.0,"Level 2, CEEK Marketing, 123 Buckingham Palace Rd Victoria, London , England SW1W 9SR"
clutch,PNdigital Ltd,https://clutch.co/profile/pndigital,https://pndigital.co.uk/contact-us/?utm_medium=referral_profile&utm_source=clutch.co,digital-marketing,London,England,UK,10 - 49,"$5,000+",$100 - $149 / hr,5.0,27.0,"PNdigital Ltd is a digital marketing agency specializing in SEO and PPC services. Reviews indicate a strong emphasis on communication and tailored strategies, resulting in notable client satisfaction and increased online visibility. Approximately 90% of reviewers highlighted their effective project ",2026-09-10T03:53:28,,https://www.facebook.com/pndigitaluk,,,2016.0,
clutch,Favoured,https://clutch.co/profile/favoured,https://favoured.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=Best-Digital-Marketing-Agencies-UK,digital-marketing,London,England,UK,10 - 49,"$1,000+",$100 - $149 / hr,4.6,39.0,"Favoured is a versatile digital marketing agency offering services such as paid media campaigns, social media management, and email marketing. Approximately 75% of reviews highlight their effective project management and commitment to brand consistency. However, 25% indicate issues with deliverables",2026-09-10T03:53:28,https://www.linkedin.com/company/favoured,,,https://www.instagram.com/favouredagency/,2017.0,"2 Stephen Street London , England W1T 1AN"
clutch,Prohibition,https://clutch.co/profile/prohibition,https://prohibitionpr.co.uk?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing-uk,digital-marketing,Leeds,England,UK,10 - 49,"$5,000+",$100 - $149 / hr,4.9,18.0,"Prohibition is a PR and social media marketing agency that offers a wide range of services, including content strategy, video production, and campaign management. The company is highly regarded for its expertise and efficient project management, consistently meeting deadlines and staying within budg",2026-09-10T03:53:28,https://www.linkedin.com/company/prohibition-pr,https://www.facebook.com/ProhibitionPR,https://twitter.com/ProhibitionPR,https://www.instagram.com/prohibitionpr/,2012.0,"Unit 4 Sovereign Street Leeds , England LS1 4BA"
clutch,ROAST,https://clutch.co/profile/roast,https://weareroast.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=uk-agencies-digital-marketing,digital-marketing,London,England,UK,50 - 249,"$5,000+",$100 - $149 / hr,4.9,17.0,"ROAST is a comprehensive digital marketing agency specializing in paid media, SEO, and technical content development. With a focus on delivering end-to-end services, ROAST partners with clients across various industries to optimize performance and maximize ROI. Across reviews, 100% of clients praise",2026-09-10T03:53:28,https://www.linkedin.com/company/9277662/,https://www.facebook.com/weareroast/,https://twitter.com/WeAreRoast,https://instagram.com/we_are_roast,2015.0,"1st Floor, 53 Frith Street, Soho London , England W1D 4SN"
clutch,Brafton,https://clutch.co/profile/brafton,https://www.brafton.com/,digital-marketing,London,England,UK,50 - 249,"$5,000+",$150 - $199 / hr,4.9,46.0,"Brafton is a versatile marketing agency specializing in content marketing, SEO optimization, and digital communication strategies. Across their reviews, approximately 90% of clients praised Brafton's professionalism, timely delivery, and ability to enhance brand visibility and engagement. Clients co",2026-09-10T03:53:28,https://www.linkedin.com/company/brafton,https://www.facebook.com/brafton/,https://twitter.com/Brafton,https://www.instagram.com/brafton/,2008.0,"2 Oliver Street, Suite 904 Boston , MA , United States 02109"
clutch,Soap Media,https://clutch.co/profile/soap-media,https://www.soapmedia.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=digital-marketing-agencies-uk,digital-marketing,Manchester,England,UK,10 - 49,"$1,000+",$100 - $149 / hr,4.9,44.0,"Soap Media is a versatile digital agency specializing in SEO, PPC, web design, and eCommerce solutions. Across reviews, clients consistently praise their effective project management, clear communication, and alignment with client goals, resulting in enhanced SEO performance, improved website functi",2026-09-10T03:53:28,https://www.linkedin.com/company/soap-media/,https://www.facebook.com/soapmedia,https://twitter.com/soapmedia,https://www.instagram.com/soapmedia/,2005.0,"111 Piccadilly Manchester , England M1 2HX"
clutch,GA Agency,https://clutch.co/profile/ga-agency,https://ga.agency/en/contact-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing-uk,digital-marketing,London,England,UK,50 - 249,"$25,000+",$100 - $149 / hr,5.0,3.0,"GA Agency is a proficient digital marketing firm specializing in SEO, digital marketing, and data analytics services. Feedback from clients highlights their exceptional project management and responsiveness, with 100% positive reviews noting timely delivery and expertise. Notably, 75% of clients obs",2026-09-10T03:53:28,https://www.linkedin.com/company/ga-agency/,,,https://www.instagram.com/ga.agencyofficial/,2019.0,"33 Broadwick Street London , England W1F 0DQ"
clutch,Web Tonic,https://clutch.co/profile/web-tonic,https://www.webtonic.io/?utm_source=clutch.co&utm_medium=referral,digital-marketing,London,England,UK,50 - 249,"$5,000+",$100 - $149 / hr,5.0,34.0,"Web Tonic is a digital marketing and SEO agency with a strong focus on improving online presence and lead generation through tailored strategies such as Google Ads management, SEO, and website optimization. Across reviews, 100% of clients reported improvement in key metrics like lead quality and con",2026-09-10T03:53:28,https://www.linkedin.com/company/105215539,https://www.facebook.com/webtonic.io/,,https://www.instagram.com/webtonic.marketing/,2018.0,"28 Geary Street, Suite 650 #1848 San Francisco , CA , United States 94108"
