company_id,company_name,domain,website,company_type,source,source_url,country,hq_city,hq_region,hq_regions,hq_full_address,headcount_bucket,headcount_min,headcount_max,revenue_bucket,revenue_min,revenue_max,industries_or_category,primary_industry,description,founded_year,linkedin_url,facebook_url,twitter_url,instagram_url,last_funding_type,last_funding_amount,last_funding_date,founders,num_founders,cb_rank,growth_score_tier,operating_status,min_project_size,hourly_rate,rating,review_count,priority_score,notes
c0001,Blacksmith,blacksmith.sh,https://blacksmith.sh,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/blacksmith-fde4,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"Cloud Computing , Developer Tools , DevOps , SaaS , Software",,"Blacksmith provides a cloud platform for continuous integration (CI) workloads. Its platform runs GitHub Actions on purpose-built infrastructure and provides compute, caching, observability, and security features for software build, test, and deployment workflows.",2024,https://www.linkedin.com/company/blacksmithrun,,,,Series B,"$45,000,000","Aug 12, 2026","Aayush Shah , Aditya Jayaprakash , Aditya Maru",3.0,242,Medium,Active,,,,,3,
c0002,Digs,digs.com,https://digs.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/digs-8801,US,Vancouver,Washington,"West Coast , Western US",,51-100,51,100,,,,"Artificial Intelligence (AI) , Construction , Enterprise Software , SaaS",,"Digs is a SaaS platform that serves builders and contractors by providing tools to streamline preconstruction planning, document collaboration, and homeowner handover. The service offers modules like file management (“DigsCloud”) that centralize project files and enable AI-powered search, collaboration boards (“DigsCanvas”) that generate 2D/3D digital twins of homes from standard blueprints, and handoff/warranty tools (“DigsCare”) that deliver digital home portfolios and postbuild support. The product is designed to bring all stakeholders, including builders, subcontractors, suppliers, and homeowners, into a unified workspace, tracking selections, approvals, changes, and warranties in one place. By converting traditional paper-based processes into a structured digital workflow, Digs aims to reduce information silos and improve communication across the build lifecycle.",2022,https://www.linkedin.com/company/digshq,,,,Series A,"$25,300,000","Aug 25, 2026","Ryan Fink , Ty Frackiewicz",2.0,286,Low,Active,,,,,3,
c0003,Twelve Labs,twelvelabs.io,http://twelvelabs.io,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/twelve-labs-62b5,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"Generative AI , Information Technology , Software , Visual Search",,"TwelveLabs develops artificial intelligence models and infrastructure for understanding, searching, and analyzing video content. Its platform enables applications to interpret visual, audio, and spoken information within videos, allowing users to perform semantic search, generate summaries, identify events and objects, and extract insights from video data. The company provides APIs and multimodal AI models that support use cases across media, entertainment, security, enterprise knowledge management, and other video-intensive applications. It also conducts research in video understanding and machine learning to improve how AI processes and reasons over video content.",2021,https://www.linkedin.com/company/twelvelabs,https://www.facebook.com/p/TwelveLabs-61575755852747,,,Series B,"$100,000,000","Jul 1, 2026","Aiden Lee , Dave Chung , Jae Lee , SJ Kim , Soyoung Lee",5.0,357,High,Active,,,,,3,
c0004,Augustus,augustus.com,https://www.augustus.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/augustus-86bf,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Banking , Blockchain , Cloud Computing , Cryptocurrency , Financial Services , FinTech , Payments , Software",,"Augustus builds an AI-native, stablecoin-based clearing and banking platform for financial institutions. The company focuses on enabling digital asset and stablecoin-based clearing to support payments and banking workflows. Its platform is designed for banks, fintechs, and other regulated financial institutions that require infrastructure for digital asset transactions. Augustus integrates artificial intelligence into its systems to support automated processes and decisioning around payments and clearing. The company positions its offerings as core banking and payments infrastructure centered on digital assets rather than traditional legacy systems.",2021,https://www.linkedin.com/company/augustusbank,,,,Series B,"$180,000,000","Jul 21, 2026","Ferdinand Dabitz , Joshua Becker , Peter Mosebjane Lieck , Simon Wimmer",4.0,362,High,Active,,,,,3,
c0005,ProphetX,prophetx.co,https://www.prophetx.co/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/prophet-3f7d,US,Hoboken,New Jersey,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Finance , Gaming , Information Technology , Prediction Markets , Software , Sports",,"Prophet solves the price and liquidity issues riddled with the sportsbook model today. Users can set prices for others to take, or take positions on the prices already available. This gives users the best odds and separates ProphetX from traditional sportsbooks.",2018,https://www.linkedin.com/company/12579305,,,,Venture - Series Unknown,"$35,000,000","Jul 28, 2026","Dean Sisun , Jake Benzaquen",2.0,462,High,Active,,,,,3,
c0006,Unframe,unframe.ai,https://www.unframe.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/unframe-ai,US,Cupertino,California,"San Francisco Bay Area , Silicon Valley , West Coast",,51-100,51,100,,,,"Artificial Intelligence (AI) , Enterprise Software , Information Technology , SaaS , Software",SaaS,"Unframe is the Managed AI Transformation Platform that turns enterprise needs and use cases into fully tailored, production-ready AI solutions in days. Powered by Unframe's deep technical building blocks and its open platform, every solution integrates seamlessly with each customer's existing AI program and core systems — scoping, designing, and delivering against the company's data, workflows, and governance frameworks. Solutions run in the customer's cloud, on-premises, or as fully managed SaaS, with no dependency on a specific LLM. Unframe helps enterprises eliminate operational bottlenecks and capture the business value of AI, from targeted use cases to complete AI transformation. Co-founded in 2024 by Shay Levi, Larissa Schneider, and Adi Azarya, Unframe is headquartered in Cupertino, California, with offices in Tel Aviv and Berlin. Visit unframe.ai.",2024,https://www.linkedin.com/company/unframe-ai,,,,Series B,"$50,000,000","May 19, 2026","Adi Azarya , Larissa Schneider , Shay Levi",3.0,476,High,Active,,,,,3,
c0007,Hike Medical,hikemedical.com,https://www.hikemedical.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/hike-medical,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"Health Care , Machine Learning , Medical Device , Software , Supply Chain Management",,"Hike Medical develops a healthcare technology platform that supports the workflow for durable medical equipment, prosthetics and orthotics, and podiatry providers. Its platform combines Hike Clinical for patient evaluations, documentation, 3D scanning, and device ordering with Hike Intelligence for referral processing, eligibility checks, documentation management, and payer-related workflows. The company also operates an in-house laboratory that uses 3D printing to produce custom orthotics and other devices, including diabetic shoes and inserts. Its system connects clinical, administrative, ordering, and fabrication processes within a single workflow, helping providers manage patient referrals through device fulfillment.",2022,https://www.linkedin.com/company/hike-medical,https://www.facebook.com/hikemed,,,Series A,"$22,500,000","Aug 25, 2026","Aadi Bhanti , Amit Bhanti , Steven Chacko",3.0,499,High,Active,,,,,3,
c0008,ZenaTech,zenatech.com,http://www.zenatech.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/zenatech,US,Chicago,Illinois,"Greater Chicago Area , Great Lakes , Midwestern US",,11-50,11,50,,,,"Drones , Information Technology , Software",,"ZenaTech provides drone technology solutions such as drone development, payment solutions, management software and auditing software.",2010,https://www.linkedin.com/company/zenapay,https://www.facebook.com/zenatech.inc,,,Post-IPO Equity,"$25,000,000","May 15, 2026",,,534,High,Active,,,,,3,
c0009,Trunk Tools,trunk.tools,https://trunk.tools,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/trunk-tools,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,51-100,51,100,,,,"Artificial Intelligence (AI) , Construction , Productivity Tools , Project Management , Software",Artificial Intelligence (AI),"Trunk Tools offers an AI-driven platform designed to automate construction-specific workflows. The company focuses on enhancing team efficiency in the construction industry through tailored solutions. It supports a wide range of users, including superintendents and project managers, to streamline operations on job sites. In contrast to conventional tools that act merely as static digital storage, Trunk Tools operates as a clever partner, organizing chaotic documentation, alerting users to potential risks, and providing insights instantly.",2021,https://www.linkedin.com/company/trunktools,https://www.facebook.com/profile.php,,,Series B,"$40,000,000","Jul 24, 2025",Sarah Buchner,1.0,627,Low,Active,,,,,3,
c0010,BQP,bqpsim.com,https://www.bqpsim.com/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/bosonq-psi,US,Syracuse,New York,"Great Lakes , East Coast , Northeastern US",,51-100,51,100,,,,"Aerospace , Artificial Intelligence (AI) , Automotive , Energy , Life Science , Machine Learning , Semiconductor , Simulation , Software , Space Travel",,"At BQP, we’re developing a quantum-accelerated digital twin platform for mission-critical applications. The platform, BQPhy, is a back-end engine that integrates seamlessly into existing engineering workflows and operates on today’s infrastructure without requiring quantum hardware. BQPhy helps teams solve large-scale, complex challenges in engineering optimization, data-driven modeling (ML), and physics-based (CFD) simulations. We are bridging the gap between current high-performance computers and future quantum systems with probabilistic algorithms from quantum information science, unlocking simulation capabilities that were previously impractical or impossible. BQPhy reduces time, accuracy, and throughput inefficiencies, thereby accelerating development cycles, unlocking previously unexplored design spaces, lowering costs, and enhancing product outcomes.",2020,https://www.linkedin.com/company/bosonq-psi,,,,Venture - Series Unknown,,"Sep 2, 2026","Abhishek Chopra , Jash Minocha , Rut Lineswala",3.0,659,Medium,Active,,,,,3,
