company_name,contact_name,tier,date,url,snippet
Agentio,Steven Laake,MED,2026-08-18,https://www.linkedin.com/posts/arthurleopold_1-week-away-for-nycs-most-ambitious-activity-7495497904770629632-X0v6,"🚨 1 WEEK AWAY! For NYC's most ambitious sellers, account managers, and GTM leaders - join us for a GTM Recruiting Event @ Agentio HQ, with David Fischer, who built Meta's revenue engine from ~$1B to $"
Credo AI,Jon Huang,MED,2026-08-06,https://www.linkedin.com/posts/aurasell_going-to-hubspot-unbound-2026-see-you-there-activity-7491153538241241088-qB7Y,"Going to HubSpot Unbound 2026? See you there.   Come find us on the show floor to see how Aurasell's AI-Native Operating System runs GTM execution end-to-end. Full context, agentic, no human babysitti"
Credo AI,Jon Huang,MED,2026-07-18,https://www.linkedin.com/posts/jonhuang91_three-years-ago-i-joined-credo-ai-when-navrina-activity-7484062045290823680-qVrI,"Three years ago, I joined Credo AI when Navrina Singh and Naysa Mishler gave me the opportunity to help build and scale Revenue Operations alongside an incredible team. I’m grateful for the trust, men"
Credo AI,Jon Huang,MED,2026-07-21,https://www.linkedin.com/posts/jonhuang91_aurasellpartner-activity-7485354506981949440-7uUG,"If this is your reality today, reach out and let's talk about how Aurasell AI can help.   #gtm #revops"
Momentum,Ashley Wilson,MED,2026-09-03,https://www.linkedin.com/posts/awilson820_somehow-its-september-which-means-dreamforce-activity-7501372744467628033-Ny0r,"Somehow it's September, which means Dreamforce is two weeks away. It's time to tell the world what we've been up to!  Our Sales Cloud keynote is decidedly crisp in POV:   1. Hunter, the Sales Agent, h"
Mutiny,Jaleh Rezaei,HIGH,2026-09-03,https://www.linkedin.com/posts/jalehr_top-20-experts-to-follow-if-youre-in-sales-activity-7501263122104496129-e2BH,"Top 20 Experts To Follow if You’re in Sales   Between running Mutiny and talking to CROs every day, I've gotten picky about whose content is actually worth following.   Here are the top 20 on my list "
Mutiny,Jaleh Rezaei,HIGH,2026-09-09,https://www.linkedin.com/posts/jalehr_salespeople-shouldnt-use-claude-i-can-activity-7503458713471651840-HDWx,"Salespeople shouldn’t use Claude.  ”I can (vibe)code” has become a weird badge of honor.  Coding and AI tinkering are valuable for marketing and a few AI-pilled reps, it’s a waste of time for 99% of r"
Mutiny,Jaleh Rezaei,MED,2026-09-04,https://www.linkedin.com/posts/jalehr_10-cros-confirmed-that-weve-flipped-from-activity-7501646770704158720-BUti,10 CROs confirmed that we’ve flipped from tokenmaxxing (bad) to token capping (more bad). Here’s a better way.   Here’s how those CROs said their companies are setting AI budgets:  - For their enginee
Fazeshift,Caitlin Leksana,MED,2026-08-27,https://www.linkedin.com/posts/caitlinleksana_we-mailed-our-prospects-100-in-cash-they-activity-7498756846464311297-xiYb,"We mailed our prospects $100 in cash. They can't get it out.  There's a real $100 bill sitting on their desk right now, locked in a box they can't open. Annoying? Yes.  But that's the point. That's ex"
Fazeshift,Caitlin Leksana,MED,2026-08-26,https://www.linkedin.com/posts/caitlinleksana_how-inspiring-to-be-surrounded-by-this-group-activity-7498503082989768704-mEh6,"How inspiring to be surrounded by this group of women at the Women in AI dinner hosted by Rocio Wu Dianoux and F-Prime.  Women from Google, Workday, Clay, Decagon, Mercor, Runway, and more - operators"
Ordway,Mayank Bhutani,MED,2026-08-04,https://www.linkedin.com/posts/mayank-bhutani-261840136_salesdevelopment-sdr-bdr-activity-7490492074476089345-5XeX,"""Success is not final, failure is not fatal: it is the courage to continue that counts.""  That quote has stuck with me throughout my time in outbound.  Being an SDR/BDR teaches you resilience in a way"
Ordway,Mayank Bhutani,MED,2026-06-11,https://www.linkedin.com/posts/mayank-bhutani-261840136_gtm-gotomarket-salestech-activity-7470857743692652546-ZVz8,"GTM tech is moving at an incredible pace.  AI, automation, and better data are changing how we prospect, market, sell, and retain customers.  I'd love to connect with fellow GTM and marketing professi"
Cypris,Amir Achourie,MED,2026-07-10,https://www.linkedin.com/posts/chrisbustos_hiring-techsales-businessdevelopment-activity-7481413037384462337-W487,"🚀 We’re hiring a Business Development Representative to join us at Cypris in Los Angeles!  Cypris is building an AI-powered research platform that helps R&D, innovation, and intellectual property team"
Stable,Ethan Reed,HIGH,2026-07-07,https://www.linkedin.com/posts/dillon-barnard_when-i-joined-stable-outbound-didnt-exist-activity-7480243309303758850-s2Ga,"When I joined Stable, outbound didn't exist.  I was understandably told to just focus on inbound while I was ramping and I (shockingly) didn't listen, knowing with my outbound-heavy background that we"
